#T[MeV]	k2B2	error	k4B2	error	k2BS	error	k4BS	error	k2S2	error	k4S2	error
120	1.941e-02	9.675e-04	-2.786e-04	8.143e-04	1.667e-02	8.296e-04	-2.012e-05	1.085e-04	1.047e-02	5.236e-04	1.367e-04	2.244e-04
125	1.970e-02	6.843e-04	-2.996e-04	6.917e-04	1.715e-02	7.144e-04	-4.557e-05	6.766e-05	1.297e-02	5.141e-04	6.620e-05	1.925e-04
130	2.008e-02	1.065e-03	-3.112e-04	6.193e-04	1.754e-02	8.711e-04	-6.609e-05	1.104e-04	1.535e-02	7.637e-04	2.052e-05	2.292e-04
135	2.045e-02	1.335e-03	-3.135e-04	5.966e-04	1.780e-02	9.707e-04	-8.169e-05	1.734e-04	1.759e-02	9.402e-04	-3.634e-07	2.943e-04
140	2.073e-02	1.535e-03	-3.064e-04	6.131e-04	1.791e-02	1.037e-03	-9.237e-05	2.331e-04	1.966e-02	1.139e-03	3.568e-06	3.617e-04
145	2.090e-02	1.716e-03	-2.899e-04	6.528e-04	1.788e-02	1.109e-03	-9.812e-05	2.855e-04	2.155e-02	1.373e-03	3.231e-05	4.221e-04
150	2.093e-02	1.871e-03	-2.641e-04	7.012e-04	1.770e-02	1.187e-03	-9.894e-05	3.300e-04	2.325e-02	1.595e-03	8.586e-05	4.726e-04
155	2.084e-02	1.972e-03	-2.289e-04	7.486e-04	1.741e-02	1.247e-03	-9.485e-05	3.663e-04	2.479e-02	1.760e-03	1.642e-04	5.126e-04
160	2.064e-02	1.998e-03	-1.844e-04	7.888e-04	1.703e-02	1.267e-03	-8.582e-05	3.945e-04	2.619e-02	1.848e-03	2.674e-04	5.424e-04
165	2.037e-02	1.948e-03	-1.305e-04	8.184e-04	1.660e-02	1.239e-03	-7.188e-05	4.149e-04	2.747e-02	1.860e-03	3.954e-04	5.632e-04
170	2.008e-02	1.843e-03	-6.727e-05	8.355e-04	1.617e-02	1.172e-03	-5.301e-05	4.279e-04	2.868e-02	1.820e-03	5.482e-04	5.770e-04
175	1.983e-02	1.727e-03	5.339e-06	8.396e-04	1.577e-02	1.091e-03	-2.921e-05	4.343e-04	2.985e-02	1.761e-03	7.258e-04	5.867e-04
180	1.967e-02	1.648e-03	8.730e-05	8.307e-04	1.544e-02	1.028e-03	-4.951e-07	4.349e-04	3.103e-02	1.716e-03	9.282e-04	5.960e-04
185	1.965e-02	1.641e-03	1.786e-04	8.101e-04	1.524e-02	1.014e-03	3.315e-05	4.310e-04	3.227e-02	1.703e-03	1.155e-03	6.101e-04
190	1.983e-02	1.704e-03	2.793e-04	7.800e-04	1.519e-02	1.055e-03	7.171e-05	4.246e-04	3.361e-02	1.720e-03	1.407e-03	6.344e-04
195	2.024e-02	1.803e-03	3.893e-04	7.443e-04	1.533e-02	1.136e-03	1.152e-04	4.182e-04	3.510e-02	1.748e-03	1.684e-03	6.749e-04
200	2.093e-02	1.904e-03	5.087e-04	7.091e-04	1.567e-02	1.232e-03	1.636e-04	4.152e-04	3.679e-02	1.773e-03	1.986e-03	7.362e-04
205	2.189e-02	1.993e-03	6.375e-04	6.838e-04	1.623e-02	1.330e-03	2.170e-04	4.196e-04	3.870e-02	1.798e-03	2.312e-03	8.211e-04
210	2.314e-02	2.087e-03	7.756e-04	6.805e-04	1.699e-02	1.435e-03	2.752e-04	4.358e-04	4.089e-02	1.856e-03	2.664e-03	9.309e-04
215	2.464e-02	2.228e-03	9.231e-04	7.118e-04	1.794e-02	1.563e-03	3.384e-04	4.674e-04	4.336e-02	1.995e-03	3.040e-03	1.065e-03
220	2.634e-02	2.454e-03	1.080e-03	7.862e-04	1.903e-02	1.729e-03	4.065e-04	5.165e-04	4.615e-02	2.251e-03	3.441e-03	1.223e-03
225	2.816e-02	2.764e-03	1.246e-03	9.056e-04	2.021e-02	1.932e-03	4.796e-04	5.834e-04	4.926e-02	2.616e-03	3.866e-03	1.403e-03
230	2.997e-02	3.117e-03	1.422e-03	1.066e-03	2.139e-02	2.150e-03	5.575e-04	6.674e-04	5.268e-02	3.071e-03	4.317e-03	1.604e-03
235	3.163e-02	3.463e-03	1.607e-03	1.264e-03	2.247e-02	2.364e-03	6.404e-04	7.673e-04	5.640e-02	3.637e-03	4.792e-03	1.825e-03
240	3.294e-02	3.835e-03	1.801e-03	1.493e-03	2.330e-02	2.604e-03	7.282e-04	8.819e-04	6.039e-02	4.467e-03	5.292e-03	2.066e-03
245	3.366e-02	4.496e-03	2.004e-03	1.751e-03	2.371e-02	3.043e-03	8.209e-04	1.010e-03	6.461e-02	5.901e-03	5.817e-03	2.326e-03
250	3.349e-02	6.030e-03	2.217e-03	2.035e-03	2.352e-02	4.048e-03	9.186e-04	1.151e-03	6.898e-02	8.406e-03	6.367e-03	2.604e-03
